cover,title,release-date,uk,us,description
https://upload.wikimedia.org/wikipedia/en/3/3d/Help.jpg,Help!,"August 6, 1965",1,—,"Considering that Help! functions as the Beatles' fifth album and as the soundtrack to their second film -- while filming, they continued to release non-LP singles on a regular basis -- it's not entirely surprising that it still has some of the weariness of Beatles for Sale. Again, they pad the album with covers, but the Bakersfield bounce of ""Act Naturally"" adds new flavor (along with an ideal showcase for Ringo's amiable vocals) and ""Dizzy Miss Lizzy"" gives John an opportunity to flex his rock & roll muscle. Georgeis writing again and if his two contributions don't touch Lennon and McCartney's originals, they hold their own against much of their British pop peers. Since Lennon wrote a third more songs thanMcCartney, it's easy to forgive a pair of minor numbers (""It's Only Love,"" ""Tell Me What You See""), especially since they're overshadowed by four great songs. His Dylan infatuation holds strong, particularly on the plaintive ""You've Got to Hide Your Love Away"" and the title track, where the brash arrangement disguises Lennon's desperation. Driven by an indelible 12-string guitar, ""Ticket to Ride"" is another masterpiece and ""You're Going to Lose That Girl"" is the kind of song McCartney effortlessly tosses off -- which he does with the jaunty ""The Night Before"" and ""Another Girl,"" two very fine tunes that simply update his melodic signature. He did much better with ""I've Just Seen a Face,"" an irresistible folk-rock gem, and ""Yesterday,"" a simple, beautiful ballad whose arrangement -- an acoustic guitar supported by a string quartet -- and composition suggested much more sophisticated and adventurous musical territory, which the group immediately began exploring with Rubber Soul."
https://upload.wikimedia.org/wikipedia/en/7/74/Rubber_Soul.jpg,Rubber Soul,"December 3, 1965",1,—,"While the Beatles still largely stuck to love songs on Rubber Soul, the lyrics represented a quantum leap in terms of thoughtfulness, maturity, and complex ambiguities. Musically, too, it was a substantial leap forward, with intricate folk-rock arrangements that reflected the increasing influence of Dylan andthe Byrds. The group and George Martin were also beginning to expand the conventional instrumental parameters of the rock group, using a sitar on ""Norwegian Wood (This Bird Has Flown),"" Greek-like guitar lines on ""Michelle"" and ""Girl,"" fuzz bass on ""Think for Yourself,"" and a piano made to sound like a harpsichord on the instrumental break of ""In My Life."" While John and Paul were beginning to carve separate songwriting identities at this point, the album is full of great tunes, from ""Norwegian Wood (This Bird Has Flown)"" and ""Michelle"" to ""Girl,"" ""I'm Looking Through You,"" ""You Won't See Me,"" ""Drive My Car,"" and ""Nowhere Man"" (the last of which was the first Beatle song to move beyond romantic themes entirely). George Harrison was also developing into a fine songwriter with his two contributions, ""Think for Yourself"" and the Byrds-ish ""If I Needed Someone."""
http://cps-static.rovicorp.com/3/JPG_400/MI0003/685/MI0003685071.jpg?partner=allrovi.com,Yesterday and Today,"June 15, 1966",—,1,"Yesterday...and Today was the last Beatles album to be created exclusively for the American market without the group's direct consent, and its tumultuous history seemed to bring the issue of those albums to a head, both for the group and Capitol Records. Owing to business and market differences between England and America, the label had reconfigured every one of the group's long-players in America up to that point, and also generated a few LPs out of singles, B-sides, and EP tracks that had no U.K. equivalent on 12"" vinyl -- the Beatles had tolerated it all quietly in the early days, content to go along amid the whirlwind of success they were riding, even in the face of such abominations as the original U.S. Help! album. By 1966, however, they were on a firmer footing, and well past being wide-eyed teenagers from the north of England; they'd also begun to express themselves creatively in media beyond music, and take themselves a bit more seriously, and having a bit more fun as well -- by the spring of 1966, after all, they were neck-deep into the making of the Revolver album. When confronted with what should have been a routine matter, the proposed 11-song U.S.-only Yesterday...and Today, assembling a bunch of single sides and leftover U.K. LP tracks, they delivered the notorious ""butcher cover,"" depicting the quartet in butcher smocks, handling cuts of meat and pieces of dismembered baby dolls -- it was all their comment on how strangely albums like this one seemed to chop up pieces of their history and repertory."
http://www.jpgr.co.uk/pcs7009_a.jpg,Revolver,"August 5, 1966",1,—,"All the rules fell by the wayside with Revolver, as the Beatles began exploring new sonic territory, lyrical subjects, and styles of composition. It wasn't just Lennon and McCartney, either -- Harrisonstaked out his own dark territory with the tightly wound, cynical rocker ""Taxman""; the jaunty yet dissonant ""I Want to Tell You""; and ""Love You To,"" George's first and best foray into Indian music. Such explorations were bold, yet they were eclipsed by Lennon's trippy kaleidoscopes of sound. His most straightforward number was ""Doctor Robert,"" an ode to his dealer, and things just got stranger from there as he buried ""And Your Bird Can Sing"" in a maze of multi-tracked guitars, gave Ringo a charmingly hallucinogenic slice of childhood whimsy in ""Yellow Submarine,"" and then capped it off with a triptych of bad trips: the spiraling ""She Said She Said""; the crawling, druggy ""I'm Only Sleeping""; and ""Tomorrow Never Knows,"" a pure nightmare where John sang portions of the Tibetan Book of the Dead into a suspended microphone over Ringo's thundering, menacing drumbeats and layers of overdubbed, phased guitars and tape loops. McCartney's experiments were formal, as he tried on every pop style from chamber pop to soul, and when placed alongside Lennon's and Harrison's outright experimentations, McCartney's songcraft becomes all the more impressive. The biggest miracle ofRevolver may be that the Beatles covered so much new stylistic ground and executed it perfectly on one record, or it may be that all of it holds together perfectly. Either way, its daring sonic adventures and consistently stunning songcraft set the standard for what pop/rock could achieve. Even after Sgt. Pepper, Revolver stands as the ultimate modern pop album and it's still as emulated as it was upon its original release."
http://www.thatericalper.com/wp-content/uploads/2015/04/Cover-shoot-for-Sgt-Pepper-2.jpg,Sgt. Pepper's Lonely Hearts Club Band,"June 1, 1967",1,1,"With Revolver, the Beatles made the Great Leap Forward, reaching a previously unheard-of level of sophistication and fearless experimentation. Sgt. Pepper, in many ways, refines that breakthrough, asthe Beatles consciously synthesized such disparate influences as psychedelia, art-song, classical music, rock & roll, and music hall, often in the course of one song. Not once does the diversity seem forced -- the genius of the record is how the vaudevillian ""When I'm 64"" seems like a logical extension of ""Within You Without You"" and how it provides a gateway to the chiming guitars of ""Lovely Rita."" There's no discounting the individual contributions of each member or their producer, George Martin, but the preponderance of whimsy and self-conscious art gives the impression that Paul McCartney is the leader of the Lonely Hearts Club Band. He dominates the album in terms of compositions, setting the tone for the album with his unabashed melodicism and deviously clever arrangements. In comparison, Lennon's contributions seem fewer, and a couple of them are a little slight but his major statements are stunning. ""With a Little Help From My Friends"" is the ideal Ringo tune, a rolling, friendly pop song that hides genuine Lennon anguish, à la ""Help!""; ""Lucy in the Sky With Diamonds"" remains one of the touchstones of British psychedelia; and he's the mastermind behind the bulk of ""A Day in the Life,"" a haunting number that skillfully blends Lennon's verse and chorus with McCartney's bridge. It's possible to argue that there are better Beatles albums, yet no album is as historically important as this. After Sgt. Pepper, there were no rules to follow -- rock and pop bands could try anything, for better or worse. Ironically, few tried to achieve the sweeping, all-encompassing embrace of music as the Beatlesdid here."
https://upload.wikimedia.org/wikipedia/en/8/85/TheBeatlesMagicalMysteryTouralbumcover.jpg,Magical Mystery Tour,"November 27, 1967",31[D],1,"The U.S. version of the soundtrack for the Beatles' ill-fated British television special embellished the six songs that were found on the British Magical Mystery Tour double EP with five other cuts from their 1967 singles. (The CD version of the record has now been standardized worldwide as the 11 tracks found on the American version.) The psychedelic sound is very much in the vein of Sgt. Pepper's, and even spacier in parts (especially the sound collages of ""I Am the Walrus""). Unlike Sgt. Pepper's, there's no vague overall conceptual/thematic unity to the material, which has made Magical Mystery Toursuffer slightly in comparison. Still, the music is mostly great, and ""Penny Lane,"" ""Strawberry Fields Forever,"" ""All You Need Is Love,"" and ""Hello Goodbye"" were all huge, glorious, and innovative singles. The ballad ""The Fool on the Hill,"" though only a part of the Magical Mystery Tour soundtrack, is also one of the most popular Beatles tunes from the era."
https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg,The Beatles,"November 22, 1968",1,1,"Each song on the sprawling double album The Beatles is an entity to itself, as the band touches on anything and everything it can. This makes for a frustratingly scattershot record or a singularly gripping musical experience, depending on your view, but what makes the so-called White Album interesting is its mess. Never before had a rock record been so self-reflective, or so ironic; the Beach Boys send-up ""Back in the U.S.S.R."" and the British blooze parody ""Yer Blues"" are delivered straight-faced, so it's never clear if these are affectionate tributes or wicked satires. Lennon turns in two of his best ballads with ""Dear Prudence"" and ""Julia""; scours the Abbey Road vaults for the musique concrète collage ""Revolution 9""; pours on the schmaltz for Ringo's closing number, ""Good Night""; celebrates theBeatles cult with ""Glass Onion""; and, with ""Cry Baby Cry,"" rivals Syd Barrett. McCartney doesn't reach quite as far, yet his songs are stunning -- the music hall romp ""Honey Pie,"" the mock country of ""Rocky Raccoon,"" the ska-inflected ""Ob-La-Di, Ob-La-Da,"" and the proto-metal roar of ""Helter Skelter."" Clearly, the Beatles' two main songwriting forces were no longer on the same page, but neither wereGeorge and Ringo. Harrison still had just two songs per LP, but it's clear from ""While My Guitar Gently Weeps,"" the canned soul of ""Savoy Truffle,"" the haunting ""Long, Long, Long,"" and even the silly ""Piggies"" that he had developed into a songwriter who deserved wider exposure. And Ringo turns in a delight with his first original, the lumbering country-carnival stomp ""Don't Pass Me By."" None of it sounds like it was meant to share album space together, but somehow The Beatles creates its own style and sound through its mess."
https://upload.wikimedia.org/wikipedia/en/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg,Yellow Submarine,"January 13, 1969",3,2,"The only Beatles album that could really be classified as inessential, mostly because it wasn't really a proper album at all, but a soundtrack that only utilized four new Beatles songs. (The rest of the album was filled out with ""Yellow Submarine,"" ""All You Need Is Love,"" and a George Martin score.) What's more, two of the four new tracks were little more than pleasant throwaways that had been recorded during 1967 and early 1968. These aren't all that bad; ""All Together Now"" is a cute, kiddieishMcCartney singalong, while ""Hey Bulldog"" has some mild Lennon nastiness and a great beat and central piano riff, with some fine playing all around -- each is memorable in its way, and the inclusion of the Lennon song here was all the more important, as the sequence from the movie itself in which it was used was deleted from the original U.S. release of the movie (which had no success whatever in the U.K. and quickly disappeared, thus making the U.S. version the established cut of the film for decades, until the late-'90s restoration and DVD re-release of the movie). George Harrison's two contributions were the more striking of the new entries -- ""Only a Northern Song,"" a leftover from the Sgt. Pepper'ssessions, generated from a period in which the guitarist became increasingly fascinated with keyboards, especially the organ and the Mellotron (and, later, the synthesizer), and is an odd piece of psychedelic ersatz, mixing trippiness and some personal comments; its lyrics (and title) on the one hand express the guitarist/singer/composer's displeasure at being tied in his publishing to Northern Songs, a company in which John Lennon and Paul McCartney were the majority shareholders; and, on the other, they present Harrison's vision of how music and recording sounded, from the inside out and the outside in, during the psychedelic era -- the song thus provided a rare glimpse inside the doors of perception of being a Beatle (or, at least, one aspect of being this particular Beatle) circa 1967. And then there was the jewel of the new songs, ""It's All Too Much""; coming from the second half of 1967, the song -- resplendent in swirling Mellotron, larger-than-life percussion, and tidal waves of feedback guitar -- was a virtuoso excursion into otherwise hazy psychedelia, that was actually superior in some respects to ""Blue Jay Way,"" Harrison's songwriting contribution of The Magical Mystery Tour; the song also later rated a dazzling cover by Steve Hillage in the middle of the following decade. The very fact thatGeorge Harrison was afforded two song slots and a relatively uncompetitive canvas for his music shows how little the project meant to Lennon and McCartney -- as did the cutting of the ""Hey Bulldog"" sequence from the movie, apparently with no resistance from Lennon, who had other, more important artistic fish to fry in 1968. What is here, however, is a good enough reason for owning the record, though nothing rates it as anything near a high-priority purchase."
https://upload.wikimedia.org/wikipedia/en/4/42/Beatles_-_Abbey_Road.jpg,Abbey Road,"September 26, 1969",1,1,"The last Beatles album to be recorded (although Let It Be was the last to be released), Abbey Roadwas a fitting swan song for the group, echoing some of the faux-conceptual forms of Sgt. Pepper, but featuring stronger compositions and more rock-oriented ensemble work. The group was still pushing forward in all facets of its art, whether devising some of the greatest harmonies to be heard on any rock record (especially on ""Because""), constructing a medley of songs/vignettes that covered much of side two, adding subtle touches of Moog synthesizer, or crafting furious guitar-heavy rock (""The End,"" ""I Want You (She's So Heavy),"" ""Come Together""). George Harrison also blossomed into a major songwriter, contributing the buoyant ""Here Comes the Sun"" and the supremely melodic ballad ""Something,"" the latter of which became the first Harrison-penned Beatles hit. Whether Abbey Road isthe Beatles' best work is debatable, but it's certainly the most immaculately produced (with the possible exception of Sgt. Pepper) and most tightly constructed."
https://upload.wikimedia.org/wikipedia/en/2/25/LetItBe.jpg,Let It Be,"May 8, 1970",1,1,"The only Beatles album to occasion negative, even hostile reviews, there are few other rock records as controversial as Let It Be. First off, several facts need to be explained: although released in May 1970, this was not their final album, but largely recorded in early 1969, way before Abbey Road. Phil Spectorwas enlisted in early 1970 to do some post-production work, but did not work with the band as a unit, as George Martin and Glyn Johns had on the sessions themselves; Spector's work was limited to mixing and some overdubs. And, although his use of strings has generated much criticism, by and large he left the original performances to stand as is: only ""The Long and Winding Road"" and (to a lesser degree) ""Across the Universe"" and ""I Me Mine"" get the wall-of-sound layers of strings and female choruses. Although most of the album, then, has a live-in-the-studio feel, the main problem was that the material wasn't uniformly strong, and that the Beatles themselves were in fairly lousy moods due to inter-group tension. All that said, the album is on the whole underrated, even discounting the fact that a sub-standard Beatles record is better than almost any other group's best work. McCartney in particular offers several gems: the gospelish ""Let It Be,"" which has some of his best lyrics; ""Get Back,"" one of his hardest rockers; and the melodic ""The Long and Winding Road,"" ruined by Spector's heavy-handed overdubs (the superior string-less, choir-less version was finally released on Anthology Vol. 3). The folky ""Two of Us,"" with John and Paul harmonizing together, was also a highlight. Most of the rest of the material, by contrast, was going through the motions to some degree, although there are some good moments of straight hard rock in ""I've Got a Feeling"" and ""Dig a Pony."" As flawed and bumpy as it is, it's an album well worth having, as when the Beatles were in top form here, they were as good as ever."
